Lektion,Wort
7,Freizeit die
7,"Hobby das, -s"
7,Fußball der
7,"Gitarre die, -n"
7,"Kino das, -s"
7,Musik die
7,Schwimmen das
7,Tennis das
7,"singen, hat gesungen"
7,"tanzen, hat getanzt"
7,"fotografieren, hat fotografiert"
7,"kochen, hat gekocht"
7,"lesen, du liest, er liest, hat gelesen"
7,"reisen, ist gereist"
7,"spazieren gehen, ist spazieren gegangen"
7,"spielen, hat gespielt"
7,Fußball spielen
7,Gitarre spielen
7,"schwimmen, ist geschwommen"
7,"tauchen, ist getaucht"
7,gern / nicht gern
7,Lieblings- (Lieblingshobby das)
7,"backen, hat gebacken"
7,"fischen, hat gefischt"
7,"malen, hat gemalt"
7,"reiten, ist geritten"
7,"sammeln, hat gesammelt"
7,"wandern, ist gewandert"
8,Essen das
8,Trinken das
8,Lebensmittel die (Pl.)
8,"Apfel der, ¨-"
8,"Banane die, -n"
8,"Birne die, -n"
8,"Brot das, -e"
8,"Brötchen das, -"
8,"Ei das, -er"
8,Fleisch das
8,"Fisch der, -e"
8,Gemüse das
8,Käse der
8,"Kartoffel die, -n"
8,"Kuchen der, -"
8,Milch die
8,Obst das
8,Reis der
8,Sahne die
8,"Salat der, -e"
8,Salz das
8,Schokolade die
8,"Suppe die, -n"
8,"Tee der, -s"
8,"Tomate die, -n"
8,"Wurst die, ¨-e"
8,"Zitrone die, -n"
8,Zucker der
8,"Bier das, -e"
8,"Wein der, -e"
8,Mineralwasser das
8,Kaffee der
8,"Saft der, ¨-e"
8,"braten, du brätst, er brät, hat gebraten"
8,"schmecken, hat geschmeckt"
8,"essen, du isst, er isst, hat gegessen"
8,"trinken, hat getrunken"
8,hungrig
8,durstig
8,lecker
9,"Einkauf der, ¨-e"
9,"Markt der, ¨-e"
9,Wochenmarkt der
9,"Supermarkt der, ¨-e"
9,"Metzgerei die, -en"
9,"Bäckerei die, -en"
9,"Kaufhaus das, ¨-er"
9,"Laden der, ¨-"
9,"Dose die, -n"
9,"Flasche die, -n"
9,Gramm das
9,Kilo das
9,Liter der
9,"Packung die, -en"
9,Pfund das
9,"Stück das, -e"
9,"Becher der, -"
9,"Glas das, ¨-er"
9,"brauchen, hat gebraucht"
9,"kaufen, hat gekauft"
9,"einkaufen, hat eingekauft"
9,"kosten, hat gekostet"
9,Wie viel kostet ...?
9,"Sonderangebot das, -e"
9,"Preis der, -e"
9,günstig
9,teuer
9,billig
10,Zeit die
10,Uhrzeit die
10,"Jahr das, -e"
10,"Jahreszeit die, -en"
10,Frühling der
10,Sommer der
10,Herbst der
10,Winter der
10,"Monat der, -e"
10,Januar
10,Februar
10,März
10,April
10,Mai
10,Juni
10,Juli
10,August
10,September
10,Oktober
10,November
10,Dezember
10,"Woche die, -n"
10,"Wochentag der, -e"
10,Montag
10,Dienstag
10,Mittwoch
10,Donnerstag
10,Freitag
10,Samstag
10,Sonntag
10,Wochenende das
10,"Tageszeit die, -en"
10,Morgen der
10,Vormittag der
10,Mittag der
10,Nachmittag der
10,Abend der
10,"Nacht die, ¨-e"
10,Uhr die (Es ist vier Uhr)
10,halb
10,Viertel das
10,vor
10,nach
10,wann
10,um (um vier Uhr)
10,am (am Montag)
10,im (im Januar)
11,"Tag der, -e"
11,Alltag der
11,"arbeiten, hat gearbeitet"
11,"auf·räumen, hat aufgeräumt"
11,"auf·stehen, ist aufgestanden"
11,"ein·kaufen, hat eingekauft"
11,"fern·sehen, du siehst fern, er sieht fern, hat ferngesehen"
11,Frühstück das
11,"frühstücken, hat gefrühstückt"
11,"kochen, hat gekocht"
11,Mittagessen das
11,Abendessen das
11,"Pause die, -n"
11,"machen, hat gemacht"
11,eine Pause machen
11,"schlafen, du schläfst, er schläft, hat geschlafen"
11,"gehen, ist gegangen"
11,ins Bett gehen
11,"an·rufen, hat angerufen"
11,"an·fangen, du fängst an, er fängt an, hat angefangen"
11,"auf·hören, hat aufgehört"
11,Zeit haben
11,keine Zeit haben
11,zuerst
11,dann
11,später
12,Freizeit die
12,"Ausflug der, ¨-e"
12,einen Ausflug machen
12,"Fest das, -e"
12,"feiern, hat gefeiert"
12,"Geburtstag der, -e"
12,"Konzert das, -e"
12,"Party die, -s"
12,"Picknick das, -s"
12,ein Picknick machen
12,"Kino das, -s"
12,"Theater das, -"
12,"Museum das, Museen"
12,"wollen, ich will, du willst, er will, hat gewollt"
12,"können, ich kann, du kannst, er kann, hat gekonnt"
12,"müssen, ich muss, du musst, er muss, hat gemusst"
12,"dürfen, ich darf, du darfst, er darf, hat gedurft"
12,"ein·laden, du lädst ein, er lädt ein, hat eingeladen"
12,"Einladung die, -en"
12,"Besuch der, -e"
12,"besuchen, hat besucht"
12,"mit·kommen, ist mitgekommen"
12,Zeit haben
12,Lust haben
12,Gute Idee!
12,Tut mir leid.
12,Das geht leider nicht.
